Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-05-4244-01A-01D-1105-08	162	10	6	26	16
TCGA-05-4250-01A-01D-1105-08	257	13	6	39	65
TCGA-05-4382-01A-01D-1931-08	1495	14	20	43	219
TCGA-05-4384-01A-01D-1753-08	87	0	0	30	19
TCGA-05-4389-01A-01D-1265-08	84	23	12	27	93
TCGA-05-4390-01A-02D-1753-08	505	9	2	36	19
TCGA-05-4395-01A-01D-1265-08	129	12	14	12	114
TCGA-05-4396-01A-21D-1855-08	181	16	9	14	30
TCGA-05-4397-01A-01D-1265-08	576	15	40	36	208
TCGA-05-4398-01A-01D-1265-08	546	27	30	19	118
TCGA-05-4402-01A-01D-1265-08	4	6	7	9	98
TCGA-05-4403-01A-01D-1265-08	65	30	12	15	15
TCGA-05-4405-01A-21D-1855-08	296	7	10	43	31
TCGA-05-4410-01A-21D-1855-08	891	14	13	43	168
TCGA-05-4415-01A-22D-1855-08	178	0	0	30	0
TCGA-05-4417-01A-22D-1855-08	262	7	17	20	10
TCGA-05-4418-01A-01D-1265-08	215	0	0	43	32
TCGA-05-4420-01A-01D-1265-08	234	1	15	24	26
TCGA-05-4422-01A-01D-1265-08	15	5	8	0	17
TCGA-05-4424-01A-22D-1855-08	563	4	14	36	95
TCGA-05-4425-01A-01D-1753-08	0	23	0	11	6
TCGA-05-4426-01A-01D-1265-08	18	15	0	0	12
TCGA-05-4427-01A-21D-1855-08	861	25	29	30	99
TCGA-05-4430-01A-02D-1265-08	222	7	2	20	22
TCGA-05-4432-01A-01D-1265-08	477	25	5	47	48
TCGA-05-4433-01A-22D-1855-08	0	25	0	13	0
TCGA-05-4434-01A-01D-1265-08	12	6	0	12	14
TCGA-05-5420-01A-01D-1625-08	62	15	0	0	11
TCGA-05-5423-01A-01D-1625-08	115	19	0	0	21
TCGA-05-5425-01A-02D-1625-08	478	2	43	26	38
TCGA-05-5428-01A-01D-1625-08	233	13	1	14	139
TCGA-05-5429-01A-01D-1625-08	2	17	5	2	8
TCGA-05-5715-01A-01D-1625-08	3	15	4	11	89
TCGA-17-Z000-01A-01W-0746-08	55	11	4	11	41
TCGA-17-Z001-01A-01W-0746-08	146	3	8	27	20
TCGA-17-Z002-01A-01W-0746-08	0	0	0	2	4
TCGA-17-Z003-01A-01W-0746-08	148	0	0	58	42
TCGA-17-Z004-01A-01W-0746-08	0	0	0	15	6
TCGA-17-Z007-01A-01W-0746-08	19	32	6	1	8
TCGA-17-Z009-01A-01W-0746-08	39	0	0	0	0
TCGA-17-Z011-01A-01W-0746-08	77	10	7	2	15
TCGA-17-Z013-01A-01W-0746-08	47	10	0	0	0
TCGA-17-Z015-01A-01W-0746-08	382	73	16	19	26
TCGA-17-Z017-01A-01W-0746-08	189	0	0	19	22
TCGA-17-Z018-01A-01W-0746-08	245	0	18	0	0
TCGA-17-Z019-01A-01W-0746-08	1	0	0	0	0
TCGA-17-Z020-01A-01W-0746-08	58	0	13	15	36
TCGA-17-Z021-01A-01W-0746-08	122	0	11	0	0
TCGA-17-Z022-01A-01W-0746-08	943	10	17	56	282
TCGA-17-Z023-01A-01W-0746-08	296	2	2	33	77
TCGA-17-Z025-01A-01W-0746-08	235	0	18	0	0
TCGA-17-Z026-01A-01W-0746-08	407	3	11	11	588
TCGA-17-Z027-01A-01W-0746-08	51	10	0	24	12
TCGA-17-Z028-01A-01W-0746-08	335	0	23	58	74
TCGA-17-Z030-01A-01W-0746-08	501	8	4	20	36
TCGA-17-Z031-01A-01W-0746-08	2066	0	0	220	126
TCGA-17-Z032-01A-01W-0746-08	44	9	0	23	34
TCGA-17-Z033-01A-01W-0746-08	112	1	6	1	49
TCGA-17-Z036-01A-01W-0746-08	50	9	0	0	18
TCGA-17-Z037-01A-01W-0746-08	23	89	3	5	21
TCGA-17-Z041-01A-01W-0746-08	19	8	1	8	13
TCGA-17-Z042-01A-01W-0746-08	416	6	9	36	32
TCGA-17-Z043-01A-01W-0746-08	133	2	4	32	42
TCGA-17-Z044-01A-01W-0746-08	87	0	0	18	21
TCGA-17-Z045-01A-01W-0746-08	659	0	0	0	57
TCGA-17-Z047-01A-01W-0747-08	7	9	0	0	7
TCGA-17-Z048-01A-01W-0746-08	2	8	4	7	8
TCGA-17-Z049-01A-01W-0746-08	419	1	8	26	55
TCGA-17-Z050-01A-01W-0747-08	83	10	1	40	39
TCGA-17-Z051-01A-01W-0747-08	93	5	1	19	19
TCGA-17-Z052-01A-01W-0747-08	96	0	0	22	0
TCGA-17-Z053-01A-01W-0747-08	164	16	1	29	45
TCGA-17-Z054-01A-01W-0747-08	0	1	0	2	1
TCGA-17-Z055-01A-01W-0747-08	524	0	0	69	42
TCGA-17-Z056-01A-01W-0747-08	328	5	4	19	123
TCGA-17-Z057-01A-01W-0747-08	109	14	21	23	247
TCGA-17-Z058-01A-01W-0747-08	48	4	3	15	8
TCGA-17-Z059-01A-01W-0747-08	108	8	1	2	40
TCGA-17-Z061-01A-01W-0747-08	116	0	0	29	37
TCGA-17-Z062-01A-01W-0747-08	385	5	17	6	30
TCGA-35-4122-01A-01D-1105-08	180	3	22	50	75
TCGA-35-4123-01A-01D-1105-08	271	16	0	0	17
TCGA-35-5375-01A-01D-1625-08	301	17	1	55	66
TCGA-38-4625-01A-01D-1553-08	481	0	0	0	130
TCGA-38-4626-01A-01D-1553-08	207	0	0	0	11
TCGA-38-4627-01A-01D-1553-08	0	12	10	0	6
TCGA-38-4628-01A-01D-1265-08	54	22	19	3	28
TCGA-38-4629-01A-02D-1265-08	190	21	9	17	48
TCGA-38-4630-01A-01D-1265-08	19	23	16	0	67
TCGA-38-4632-01A-01D-1753-08	422	7	15	24	58
TCGA-38-6178-01A-11D-1753-08	30	13	0	0	11
TCGA-38-7271-01A-11D-2036-08	31	0	0	0	23
TCGA-44-2655-01A-01D-1553-08	166	0	10	0	12
TCGA-44-2655-01A-01W-0928-08	162	0	0	17	16
TCGA-44-2656-01A-02D-0969-08	796	8	49	35	27
TCGA-44-2656-01A-02D-A271-08	734	1	54	31	13
TCGA-44-2656-01A-02W-0928-08	757	0	52	0	0
TCGA-44-2656-01A-12D-A27T-08	762	7	52	31	21
TCGA-44-2656-01A-41D-A27T-08	777	2	51	44	20
TCGA-44-2656-01B-06D-A271-08	675	0	50	0	32
TCGA-44-2657-01A-01D-1105-08	355	17	0	0	47
TCGA-44-2661-01A-01D-1105-08	11	6	3	12	11
TCGA-44-2662-01A-01D-0969-08	36	1	8	6	175
TCGA-44-2662-01A-01D-A271-08	53	0	0	0	164
TCGA-44-2662-01A-01W-0928-08	46	0	0	0	161
TCGA-44-2662-01B-02D-A271-08	29	1	6	7	147
TCGA-44-2665-01A-01D-1040-01	0	13	5	11	18
TCGA-44-2665-01A-01D-A271-08	3	15	1	8	21
TCGA-44-2665-01A-01W-0928-08	0	8	0	20	24
TCGA-44-2665-01B-06D-A271-08	2	10	1	15	24
TCGA-44-2666-01A-01D-1489-08	4	5	1	14	6
TCGA-44-2666-01A-01D-A271-08	0	7	0	13	7
TCGA-44-2666-01A-01W-0928-08	3	9	3	10	7
TCGA-44-2666-01A-21D-A27T-08	7	9	0	12	6
TCGA-44-2666-01A-41D-A27T-08	4	5	4	13	8
TCGA-44-2666-01B-02D-A271-08	6	8	1	5	5
TCGA-44-2668-01A-01D-0969-08	277	6	11	16	92
TCGA-44-2668-01A-01D-A271-08	254	2	18	8	81
TCGA-44-2668-01A-01W-0928-08	287	0	21	0	89
TCGA-44-2668-01B-02D-A271-08	185	0	0	0	51
TCGA-44-3396-01A-01D-1553-08	64	28	0	0	101
TCGA-44-3398-01A-01D-1105-08	92	2	4	35	58
TCGA-44-3917-01B-02D-A271-08	170	13	15	3	38
TCGA-44-3918-01B-02D-A271-08	812	0	31	0	84
TCGA-44-3919-01A-02D-1105-08	0	0	5	20	8
TCGA-44-3919-01A-02D-1458-08	7	1	3	15	12
TCGA-44-4112-01A-01D-1105-08	349	5	14	27	35
TCGA-44-4112-01A-01D-1458-08	368	3	11	34	34
TCGA-44-4112-01A-22D-A27T-08	368	9	19	34	35
TCGA-44-4112-01A-31D-A27T-08	343	15	14	32	97
TCGA-44-4112-01B-06D-A271-08	287	4	6	20	32
TCGA-44-5643-01A-01D-1625-08	59	27	13	0	39
TCGA-44-5644-01A-21D-2036-08	830	40	12	36	78
TCGA-44-5645-01A-01D-1625-08	18	18	0	0	0
TCGA-44-5645-01A-01D-A271-08	20	16	0	0	0
TCGA-44-5645-01A-21D-A27T-08	21	19	0	0	0
TCGA-44-5645-01A-51D-A27T-08	19	19	0	0	0
TCGA-44-5645-01B-04D-A271-08	18	19	0	0	0
TCGA-44-6144-01A-11D-1753-08	164	11	3	22	36
TCGA-44-6145-01A-11D-1753-08	295	4	2	13	11
TCGA-44-6147-01A-11D-1753-08	146	10	1	3	27
TCGA-44-6147-01A-11D-A271-08	153	11	0	0	35
TCGA-44-6147-01A-21D-A27T-08	159	33	0	0	34
